Time,mx,my,mz
7.29297024560989e-10,4.264209596831423e-06,-4.7358016585668727e-07,0.999999999982754
7.299999999999993e-10,4.337751116100656e-06,-3.9702343278174333e-07,0.9999999999824722
7.299999999999993e-10,4.337751116100656e-06,-3.9702343278174333e-07,0.9999999999824722
7.322602872725664e-10,4.307006086379281e-06,-1.549488150522241e-07,0.9999999999826592
7.344088537439495e-10,4.247937222668657e-06,6.186630562390712e-08,0.9999999999828818
7.365760633395509e-10,4.160557790225913e-06,2.6405026623514037e-07,0.9999999999831501
7.387535105031901e-10,4.046727393984405e-06,4.474899895722844e-07,0.999999999983457
7.399999999999993e-10,3.9707498885553145e-06,5.425908073818658e-07,0.9999999999836514
7.399999999999993e-10,3.9707498885553145e-06,5.425908073818658e-07,0.9999999999836514
7.442792017436878e-10,3.243667147995263e-06,1.01756217499113e-06,0.999999999985639
7.464237496844685e-10,2.8341638130077764e-06,1.1692705202499276e-06,0.9999999999865749
7.484787382883238e-10,2.4229556259059053e-06,1.2578199799516612e-06,0.999999999987412
7.499999999999994e-10,2.1108825747375057e-06,1.2870775240301304e-06,0.9999999999879872
7.499999999999994e-10,2.1108825747375057e-06,1.2870775240301304e-06,0.9999999999879872
7.52012327526531e-10,1.610185775291719e-06,1.4794835162930271e-06,0.9999999999885376
7.539181866502428e-10,1.1125994353529151e-06,1.5989527349676681e-06,0.999999999988944
7.558141712054096e-10,6.023335930751143e-07,1.655887415692082e-06,0.999999999989218
7.57711543120248e-10,8.378812077833052e-08,1.6506436281231512e-06,0.9999999999893564
7.59228511906861e-10,-3.315295890250681e-07,1.6019799072283257e-06,0.99999999998936
7.599999999999993e-10,-5.4167240130262e-07,1.5622816207917313e-06,0.9999999999893262
7.599999999999993e-10,-5.4167240130262e-07,1.5622816207917313e-06,0.9999999999893262
7.618661901725916e-10,-9.942298421633926e-07,1.6214212175520618e-06,0.999999999988889
7.636315038072636e-10,-1.4305647768043967e-06,1.6284954363851098e-06,0.9999999999883732
7.654014993306634e-10,-1.8707071766468902e-06,1.5878876640240602e-06,0.9999999999877528
7.671727491607874e-10,-2.3084772041140952e-06,1.500025330563324e-06,0.9999999999870316
7.689542287823603e-10,-2.7407038458031517e-06,1.3651854504854636e-06,0.9999999999861972
